  #liquid density at 303.00000   K =  722.67389 kg/cu.m
#    fluids/DECANE.FLD  1.0000
 # variables = "percent vol evap"  "temperature (C)" 
     99.70537   174.12017
     99.70739   174.12017
     99.70940   174.12017
     99.71139   174.12017
     99.71337   174.12017
     99.71533   174.12017
     99.71728   174.12017
     99.71922   174.12017
     99.72115   174.12017
     99.72306   174.12017
     99.72496   174.12017
     99.72684   174.12017
     99.72872   174.12017
     99.73058   174.12017
     99.73242   174.12017
     99.73426   174.12017
     99.73608   174.12017
     99.73789   174.12017
     99.73969   174.12017
     99.74147   174.12017
     99.74324   174.12017
     99.74500   174.12017
     99.74675   174.12017
     99.74849   174.12017
     99.75021   174.12017
     99.75193   174.12017
     99.75363   174.12017
     99.75532   174.12017
     99.75699   174.12017
     99.75866   174.12017
     99.76031   174.12017
     99.76196   174.12017
     99.76359   174.12017
     99.76521   174.12017
     99.76682   174.12017
     99.76842   174.12017
     99.77001   174.12017
     99.77158   174.12017
     99.77315   174.12017
     99.77471   174.12017
     99.77625   174.12017
     99.77778   174.12017
     99.77931   174.12017
     99.78082   174.12017
     99.78232   174.12017
     99.78382   174.12017
     99.78530   174.12017
     99.78677   174.12017
     99.78823   174.12017
     99.78968   174.12017
     99.79113   174.12017
     99.79256   174.12017
     99.79398   174.12017
     99.79539   174.12017
     99.79680   174.12017
     99.79819   174.12017
     99.79957   174.12017
     99.80095   174.12017
     99.80231   174.12017
     99.80367   174.12017
     99.80501   174.12017
     99.80635   174.12017
     99.80768   174.12017
     99.80900   174.12017
     99.81031   174.12017
     99.81161   174.12017
     99.81290   174.12017
     99.81418   174.12017
     99.81545   174.12017
     99.81672   174.12017
     99.81798   174.12017
     99.81922   174.12017
     99.82046   174.12017
     99.82170   174.12017
     99.82292   174.12017
     99.82413   174.12017
     99.82534   174.12017
     99.82654   174.12017
     99.82772   174.12017
     99.82891   174.12017
     99.83008   174.12017
     99.83124   174.12017
     99.83240   174.12017
     99.83355   174.12017
     99.83469   174.12017
     99.83582   174.12017
     99.83695   174.12017
     99.83807   174.12017
     99.83918   174.12017
     99.84028   174.12017
     99.84138   174.12017
     99.84246   174.12017
     99.84354   174.12017
     99.84462   174.12017
     99.84568   174.12017
     99.84674   174.12017
     99.84779   174.12017
     99.84883   174.12017
     99.84987   174.12017
     99.85090   174.12017
     99.85192   174.12017
     99.85294   174.12017
     99.85395   174.12017
     99.85495   174.12017
     99.85594   174.12017
     99.85693   174.12017
     99.85791   174.12017
     99.85888   174.12017
     99.85985   174.12017
     99.86081   174.12017
     99.86177   174.12017
     99.86271   174.12017
     99.86366   174.12017
     99.86459   174.12017
     99.86552   174.12017
     99.86644   174.12017
     99.86736   174.12017
     99.86827   174.12017
     99.86917   174.12017
     99.87007   174.12017
     99.87096   174.12017
     99.87184   174.12017
     99.87272   174.12017
     99.87359   174.12017
     99.87446   174.12017
     99.87532   174.12017
     99.87618   174.12017
     99.87702   174.12017
     99.87787   174.12017
     99.87871   174.12017
     99.87954   174.12017
     99.88036   174.12017
     99.88118   174.12017
     99.88200   174.12017
     99.88281   174.12017
     99.88361   174.12017
     99.88441   174.12017
     99.88520   174.12017
     99.88599   174.12017
     99.88677   174.12017
     99.88755   174.12017
     99.88832   174.12017
     99.88908   174.12017
     99.88984   174.12017
     99.89060   174.12017
     99.89135   174.12017
     99.89209   174.12017
     99.89283   174.12017
     99.89357   174.12017
     99.89430   174.12017
     99.89502   174.12017
     99.89574   174.12017
     99.89646   174.12017
     99.89717   174.12017
     99.89787   174.12017
     99.89857   174.12017
     99.89927   174.12017
     99.89996   174.12017
     99.90064   174.12017
     99.90133   174.12017
     99.90200   174.12017
     99.90267   174.12017
     99.90334   174.12017
     99.90400   174.12017
     99.90466   174.12017
     99.90532   174.12017
     99.90596   174.12017
     99.90661   174.12017
     99.90725   174.12017
     99.90789   174.12017
     99.90852   174.12017
     99.90914   174.12017
     99.90977   174.12017
     99.91039   174.12017
     99.91100   174.12017
     99.91161   174.12017
     99.91222   174.12017
     99.91282   174.12017
     99.91342   174.12017
     99.91401   174.12017
     99.91460   174.12017
     99.91518   174.12017
     99.91577   174.12017
     99.91634   174.12017
     99.91692   174.12017
     99.91749   174.12017
     99.91805   174.12017
     99.91861   174.12017
     99.91917   174.12017
     99.91973   174.12017
     99.92028   174.12017
     99.92082   174.12017
     99.92137   174.12017
     99.92191   174.12017
     99.92244   174.12017
     99.92297   174.12017
     99.92350   174.12017
     99.92403   174.12017
     99.92455   174.12017
     99.92506   174.12017
     99.92558   174.12017
     99.92609   174.12017
     99.92659   174.12017
     99.92710   174.12017
     99.92760   174.12017
     99.92809   174.12017
     99.92859   174.12017
     99.92908   174.12017
     99.92956   174.12017
     99.93005   174.12017
